Name,Reason,"Number of Occurrences"
"Gainesville, FL: Gainesville Regional",Weather,2
"La Crosse, WI: La Crosse Regional","National Air System",1
"Dayton, OH: James M Cox/Dayton International",Weather,3
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Weather,1
"Ithaca/Cortland, NY: Ithaca Tompkins Regional","National Air System",1
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",Weather,1
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Weather,1
"Bangor, ME: Bangor International",Weather,4
"La Crosse, WI: La Crosse Regional",Weather,1
"Melbourne, FL: Melbourne International",Weather,1
"Montgomery, AL: Montgomery Regional",Weather,1
"Santa Ana, CA: John Wayne Airport-Orange County",Carrier,28
"West Palm Beach/Palm Beach, FL: Palm Beach International",Carrier,39
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Carrier,12
"Richmond, VA: Richmond International",Weather,10
"San Juan, PR: Luis Munoz Marin International",Weather,19
"Fort Myers, FL: Southwest Florida International",Carrier,28
"Portland, ME: Portland International Jetport",Weather,10
"Raleigh/Durham, NC: Raleigh-Durham International",Weather,45
"San Francisco, CA: San Francisco International",Carrier,68
"St. Louis, MO: St Louis Lambert International",Weather,41
"Savannah, GA: Savannah/Hilton Head International",Weather,10
"Tampa, FL: Tampa International",Weather,45
"Phoenix, AZ: Phoenix Sky Harbor International",Weather,54
"Charlotte Amalie, VI: Cyril E King",Carrier,3
"Sacramento, CA: Sacramento International",Weather,17
"Chicago, IL: Chicago O'Hare International",Weather,315
"Omaha, NE: Eppley Airfield",Weather,12
"Seattle, WA: Seattle/Tacoma International",Carrier,78
"Norfolk, VA: Norfolk International",Weather,19
"Rochester, NY: Greater Rochester International",Weather,4
"San Antonio, TX: San Antonio International",Weather,19
"Providence, RI: Theodore Francis Green State",Weather,13
"Palm Springs, CA: Palm Springs International",Carrier,8
"Santa Barbara, CA: Santa Barbara Municipal",Weather,25
"San Diego, CA: San Diego International",Carrier,36
"Pittsburgh, PA: Pittsburgh International",Weather,30
"Kahului, HI: Kahului Airport",Carrier,24
"Pensacola, FL: Pensacola International",Weather,12
"Philadelphia, PA: Philadelphia International",Weather,56
"Oakland, CA: Metropolitan Oakland International","National Air System",11
"Reno, NV: Reno/Tahoe International","National Air System",7
"Ponce, PR: Mercedita","National Air System",7
"Louisville, KY: Louisville Muhammad Ali International",Weather,23
"Christiansted, VI: Henry E. Rohlsen",Weather,2
"Christiansted, VI: Henry E. Rohlsen",Carrier,2
"Tulsa, OK: Tulsa International",Weather,9
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,13
"Portland, OR: Portland International",Carrier,28
"Ontario, CA: Ontario International",Carrier,16
"Tucson, AZ: Tucson International",Weather,4
"Tucson, AZ: Tucson International",Carrier,4
"Springfield, MO: Springfield-Branson National",Weather,3
NULL,Weather,3
"South Bend, IN: South Bend International",Weather,9
"State College, PA: University Park",Weather,4
"Peoria, IL: General Downing - Peoria International",Weather,4
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Weather,6
"Knoxville, TN: McGhee Tyson",Weather,10
"Rapid City, SD: Rapid City Regional",Weather,18
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",Weather,4
"Rock Springs, WY: Southwest Wyoming Regional",Weather,1
"Victoria, TX: Victoria Regional",Weather,1
"Rochester, MN: Rochester International",Weather,3
"Rhinelander, WI: Rhinelander/Oneida County",Weather,1
"Springfield, IL: Abraham Lincoln Capital",Weather,4
"Salt Lake City, UT: Salt Lake City International",Carrier,87
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Carrier,9
"Syracuse, NY: Syracuse Hancock International",Carrier,5
"Syracuse, NY: Syracuse Hancock International",Weather,5
"Oklahoma City, OK: Will Rogers World",Weather,8
"Rochester, NY: Greater Rochester International","National Air System",4
"Newburgh/Poughkeepsie, NY: New York Stewart International",Carrier,1
"Trenton, NJ: Trenton Mercer",Weather,4
"Kotzebue, AK: Ralph Wien Memorial",Weather,1
"Everett, WA: Snohomish County",Carrier,2
"Yakutat, AK: Yakutat Airport",Weather,4
"Bend/Redmond, OR: Roberts Field",Carrier,1
"Sitka, AK: Sitka Rocky Gutierrez",Weather,7
"Petersburg, AK: Petersburg James A Johnson",Weather,4
"Wrangell, AK: Wrangell Airport",Weather,4
"Deadhorse, AK: Deadhorse Airport",Weather,1
"Worcester, MA: Worcester Regional",Weather,5
"Syracuse, NY: Syracuse Hancock International","National Air System",5
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,4
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,3
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,5
"Tyler, TX: Tyler Pounds Regional",Weather,4
"Stillwater, OK: Stillwater Regional",Weather,3
"St. George, UT: St George Regional",Weather,1
"Santa Fe, NM: Santa Fe Municipal",Weather,3
"Roswell, NM: Roswell International Air Center",Weather,1
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Carrier,1
"Punta Gorda, FL: Punta Gorda Airport",Carrier,4
"St. Cloud, MN: St. Cloud Regional","National Air System",1
"Provo, UT: Provo Municipal",Carrier,2
"Sanford, FL: Orlando Sanford International","National Air System",1
"St. Petersburg, FL: St Pete Clearwater International","National Air System",2
"Stockton, CA: Stockton Metropolitan","National Air System",1
"Sanford, FL: Orlando Sanford International",Carrier,1
"Fayetteville, AR: Northwest Arkansas Regional",Weather,5
"San Luis Obispo, CA: San Luis County Regional",Weather,1
"Shreveport, LA: Shreveport Regional",Weather,9
"Springfield, MO: Springfield-Branson National",Carrier,3
"Yuma, AZ: Yuma MCAS/Yuma International",Carrier,1
"Tallahassee, FL: Tallahassee International",Weather,4
"Greenville, NC: Pitt Greenville",Weather,1
